id_cliente,nome,id_venda,data_venda,email,estado,status_pedido
2,Ana Nascimento,767,2025-08-05,da-cruzjoao-pedro@example.com,AC,atrasado
5,Davi Lucas Barbosa,1001,2025-07-15,alveskaique@example.com,TO,atrasado
7,Isabela Souza,3141,2025-07-17,pedro-lucasviana@example.com,AC,atrasado
7,Isabela Souza,4637,2025-07-14,pedro-lucasviana@example.com,AC,atrasado
9,Vinícius Moreira,2429,2025-07-30,da-costalara@example.com,PA,atrasado
14,Ana Julia Jesus,1530,2025-08-08,emanuellyazevedo@example.com,GO,atrasado
19,Maria Laura Mendonça,4236,2025-08-01,thalesalves@example.com,PR,atrasado
19,Maria Laura Mendonça,582,2025-07-19,thalesalves@example.com,PR,atrasado
20,Ana Liz Caldeira,3788,2025-07-23,rezendeyuri@example.net,SP,atrasado
20,Ana Liz Caldeira,4274,2025-07-23,rezendeyuri@example.net,SP,atrasado
20,Ana Liz Caldeira,2447,2025-07-20,rezendeyuri@example.net,SP,atrasado
21,Dra. Raquel Almeida,4368,2025-07-28,marquesmaria-clara@example.net,TO,atrasado
23,Giovanna da Cunha,3448,2025-07-15,anthonycavalcante@example.net,ES,atrasado
24,Danilo Vargas,3377,2025-07-30,rviana@example.net,RR,atrasado
27,Caio Aragão,4550,2025-07-30,maria-flordias@example.com,SP,atrasado
28,Enrico Novais,4695,2025-07-21,pereiraisaac@example.com,RS,atrasado
38,Dante Rocha,1578,2025-08-02,costacaua@example.net,SP,atrasado
40,Maria Flor Alves,1171,2025-08-06,machadoana@example.net,PE,atrasado
40,Maria Flor Alves,3914,2025-07-14,machadoana@example.net,PE,atrasado
44,Sra. Giovanna Aparecida,2123,2025-07-25,clarice14@example.net,AC,atrasado
45,Bruna Leão,1484,2025-07-23,glopes@example.net,GO,atrasado
45,Bruna Leão,16,2025-07-13,glopes@example.net,GO,atrasado
49,Maria Alice Ramos,2140,2025-07-31,vmachado@example.com,ES,atrasado
50,Renan Araújo,2768,2025-08-08,casa-grandeigor@example.net,MT,atrasado
52,Matheus Câmara,1904,2025-08-07,costajoao@example.org,MG,atrasado
52,Matheus Câmara,3071,2025-07-31,costajoao@example.org,MG,atrasado
55,Sr. Caio Costela,957,2025-08-01,beniciomoura@example.com,AP,atrasado
56,Ana Cecília Silveira,3401,2025-08-03,yuri69@example.org,SP,atrasado
58,Cecilia Cavalcanti,3409,2025-07-29,gcosta@example.org,PE,atrasado
58,Cecilia Cavalcanti,3554,2025-07-15,gcosta@example.org,PE,atrasado
